2,500,000+ views (12)
• "Patience" - KSI ft. YUNGBLUD & Polo G | 185K+
• "STORY" - NF | 185K+
• "Cut You Off" - Selena Gomez | 185K+
• "Survivor's Guilt" - Dave | 180K+
• "The Outside" - twenty one pilots | 180K+
• "Kill Bill (Remix)" - SZA ft. Doja Cat | 180K+
• "Never Worn White" - Katy Perry | 180K+
• "Black Hearted" - Polo G | 180K+
• "You Better Move" - Lil Uzi Vert | 180K+
• "GANG GANG" - Polo G & Lil Wayne | 180K+
• "We Go High" - Chance The Rapper | 180K+
• "Lonely Heart" - 5 Seconds of Summer | 180K+
• "On My Own" - Jaden ft. Kid Cudi | 180K+
• "Thin White Lies" - 5 Seconds of Summer | 180K+
• "Beautiful Pain" - Polo G | 180K+
• "Richer" - Rod Wave ft. Polo G | 180K+
• "Family and Loyalty" - Gang Starr ft. J. Cole | 180K+
• "Cool" - Dua Lipa | 180K+
• "Kacey Talk" - NBA YoungBoy | 180K+
• "Ya'aburnee" - Halsey | 180K+
• "Skate" - Silk Sonic | 180K+
• "papercuts" - MGK | 180K+
• "Saturday" - twenty one pilots | 180K+
• "Wild at Heart" - Lana Del Rey | 180K+
• "Satish" - Tee Grizzley | 175K+
• "Ain't It Different" - Headie One ft. AJ Tracey & Stormzy | 175K+
• "My Oasis" - Sam Smith ft. Burna Boy | 175K+
• "Snitching" - Pop Smoke ft. Quavo & Future | 175K+
• "KEYS TO MY LIFE" - Kanye West & Ty Dolla $ign | 175K+
• "STAYING ALIVE" - DJ Khaled ft. Drake & Lil Baby | 175K+
• "Mulberry Street" - twenty one pilots | 175K+
• "Jigsaw" - Conan Gray | 175K+
• "the BLACK seminole." - Lil Yachty | 175K+
• "Dial Drunk" - Noah Kahan ft. Post Malone | 170K+
• "Dark But Just a Game" - Lana Del Rey | 170K+
• "Wet Vagina" - Doja Cat | 170K+
• "I Am What I Am" - King Von ft. Fivio Foreign | 170K+
• "lost souls" - Baby Keem | 170K+
• "Brain & Heart" - Melanie Martinez | 170K+
• "Zodiac Sign" - Drake ft. Jessie Reyez | 170K+
• "BUZZCUT" - BROCKHAMPTON ft. Danny Brown | 170K+
• "LIMBO" - XXXTENTACION | 170K+
• "Crowded Room" - Selena Gomez & 6LACK | 170K+
• "all of me" - 21 Savage | 170K+
• "Voice of the Heroes" - Lil Baby & Lil Durk | 165K+
• "Big Stepper" - Roddy Ricch | 165K+
• "Monica Lewinsky" - SAINt JHN ft. A Boogie | 165K+
• "XXL Cypher 2019" - DaBaby, Megan, Lil Mosey & Osiris | 165K+
• "Killa" - Playboi Carti | 165K+
• "Love Sick" - Trippie Redd | 165K+
• "Catch The Sun" - Lil Baby | 160K+
• "ATTENTION!" - XXXTENTACION | 160K+
• "THAT'S A JOKE" - NF | 160K+
• "transparent soul" - Willow | 160K+
• "WISH" - Denzel Curry | 160K+
• "PROTECTOR" - Beyoncé ft. Rumi Carter | 155K+
• "Parade On Cleveland" - Young Thug ft. Drake | 155K+
• "Only a Matter of Time" - Joshua Bassett | 155K+
• "Beat The Odds" - Lil Tjay | 155K+
• "Pelle Coat" - Lil Durk | 155K+
• "The Voice" - Lil Durk | 155K+
• "Mood Swings" - A Boogie Wit da Hoodie | 155K+
• "Julia" - Lauv | 150K+
• "MY SOUL" - Kanye West & Ty Dolla $ign | 150K+
• "No Time" - KSI ft. Lil Durk | 150K+
• "Up From The Ashes" - Kanye West | 150K+
• "Loved By You" - Justin Bieber ft. Burna Boy | 150K+
• "High School In Jakarta" - NIKI | 150K+
• "Bali" - Rich Brian & Guapdad 4000 | 150K+
• "Fearless (Taylor's version)" - Taylor Swift | 150K+
